dataset,output_data,output_metrics,mindcf_fp_rate,mindcf_precision,mindcf_rank1_precision,mindcf_rank1_known_precision,mindcf_rank5_precision,mindcf_recall,mindcf_mcc,mindcf_fscore,mindcf_accuracy,mindcf_confusion,mindcf_threshold,mindcf_average
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_42.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_42_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_42_r500_s100metrics.json,8.51E-07,0.5,0.5,0.5,0.5,0.2,0.316226016,0.285714286,0.999995743,"[[      1       4]
 [      1 1174409]]",51.1836779,4.29E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_43.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_43_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_43_r500_s100metrics.json,8.51E-07,0.8,0.8,0.8,0.8,0.8,0.799999149,0.8,0.999998297,"[[      4       1]
 [      1 1174409]]",51.33008919,3.73E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_49.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_49_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_49_r500_s100metrics.json,1.70E-06,0.666666667,0.666666667,0.6,0.666666667,0.8,0.7302955,0.727272727,0.999997446,"[[      4       1]
 [      2 1174408]]",50.99057687,4.02E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_40.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_40_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_40_r500_s100metrics.json,0,1,1,1,1,0.8,0.89442681,0.888888889,0.999999149,"[[      4       1]
 [      0 1174410]]",50.66029471,3.84E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_46.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_46_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_46_r500_s100metrics.json,0,1,1,1,1,0.6,0.77459601,0.75,0.999998297,"[[      3       2]
 [      0 1174410]]",51.35886817,3.96E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_47.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_47_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_47_r500_s100metrics.json,8.51E-07,0.666666667,0.666666667,0.666666667,0.666666667,0.4,0.516396241,0.5,0.999996594,"[[      2       3]
 [      1 1174409]]",51.0711229,3.84E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_41.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_41_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_41_r500_s100metrics.json,8.51E-07,0.666666667,0.666666667,0.666666667,0.666666667,0.4,0.516396241,0.5,0.999996594,"[[      2       3]
 [      1 1174409]]",52.50664512,4.07E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_44.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_44_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_44_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",50.62010991,4.01E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_45.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_45_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_45_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",52.0294842,4.00E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_48.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_48_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_48_r500_s100metrics.json,8.51E-07,0.8,0.8,0.8,0.8,0.8,0.799999149,0.8,0.999998297,"[[      4       1]
 [      1 1174409]]",50.95028295,3.99E-05
